Date,tair,pcp,Q,SWE,PET
2012-07-13,15.0,0.0,0.4122560992706109,0.0,10.184150695800781
2012-07-14,12.222222222222221,7.619999999999999,0.4033805039633742,0.0,8.559642791748047
2012-07-15,11.11111111111111,2.54,0.4174590344507151,0.0,7.9626874923706055
2012-07-16,11.666666666666666,2.54,0.4000138988468362,0.0,8.221329689025879
2012-07-17,13.88888888888889,0.0,0.3924645419188419,0.0,9.408011436462402
2012-07-18,15.0,0.0,0.3826367754675339,0.0,10.038871765136719
2012-07-19,16.666666666666668,0.0,0.3622671142068644,0.0,11.068870544433594
2012-07-20,16.666666666666668,2.54,0.3456041191856157,0.0,11.032503128051758
2012-07-21,15.0,7.619999999999999,0.3361776248593092,0.0,9.940261840820312
2012-07-22,14.444444444444445,0.0,0.3281861884715671,0.0,9.57526683807373
2012-07-23,15.0,0.0,0.3160256027172842,0.0,9.870142936706543
2012-07-24,14.444444444444445,0.0,0.3092243802596318,0.0,9.505881309509277
2012-07-25,15.555555555555555,0.0,0.3057353531388563,0.0,10.133230209350586
2012-07-26,16.11111111111111,0.0,0.2904598074989684,0.0,10.439193725585938
2012-07-27,11.341140266666669,15.239999999999998,0.2659141956493002,2.54,7.752530574798584
2012-07-28,11.896695822222224,0.0,0.2953872931695374,0.0,7.9943976402282715
2012-07-29,14.444444444444445,0.0,0.3002909745615055,0.0,9.319405555725098
2012-07-30,15.555555555555555,0.0,0.2887220951610381,0.0,9.929967880249023
2012-07-31,14.444444444444445,0.0,0.2817950500879189,0.0,9.24010944366455
2012-08-01,12.777777777777779,12.7,0.377603870848871,0.0,8.301920890808105
2012-08-02,11.11111111111111,0.0,0.4154186677134194,0.0,7.448042392730713
2012-08-03,14.444444444444445,0.0,0.3888598940162861,0.0,9.116708755493164
2012-08-04,15.555555555555555,0.0,0.3205110089281067,0.0,9.709980964660645
2012-08-05,15.555555555555555,0.0,0.3024503626918102,0.0,9.664247512817383
2012-08-06,12.777777777777779,7.619999999999999,0.3086938849079351,0.0,8.111477851867676
2012-08-07,14.444444444444445,0.0,0.3599887046835509,0.0,8.944820404052734
2012-08-08,16.666666666666668,0.0,0.3644775115056015,0.0,10.184921264648438
2012-08-09,15.555555555555555,0.0,0.3467467245585011,0.0,9.476334571838379
2012-08-10,14.444444444444445,0.0,0.3024537633030391,0.0,8.811163902282715
2012-08-11,14.444444444444445,0.0,0.2845019366260647,0.0,8.765822410583496
2012-08-12,15.555555555555555,0.0,0.2667405441779047,0.0,9.330805778503418
2012-08-13,11.11111111111111,5.08,0.2663018653293865,0.0,7.054165840148926
2012-08-14,11.666666666666666,2.54,0.3214087702925166,0.0,7.265223979949951
2012-08-15,13.88888888888889,0.0,0.3419586639483138,0.0,8.293617248535156
2012-08-16,14.444444444444445,0.0,0.3216774185795935,0.0,8.534100532531738
2012-08-17,13.88888888888889,2.54,0.320323975310521,0.0,8.20261001586914
2012-08-18,14.444444444444445,0.0,0.323547754755448,0.0,8.439428329467773
2012-08-19,15.0,0.0,0.2969549749460269,0.0,8.68126106262207
2012-08-20,11.666666666666666,0.0,0.2856649456663231,0.0,7.026179313659668
2012-08-21,14.444444444444445,0.0,0.2740144515963645,0.0,8.295742988586426
2012-08-22,13.333333333333334,0.0,0.2649246177817118,0.0,7.703037261962891
2012-08-23,11.11111111111111,7.619999999999999,0.2589633462975794,0.0,6.667840003967285
2012-08-24,10.0,2.54,0.2715694121228383,0.0,6.179271697998047
2012-08-25,12.777777777777779,0.0,0.2683456326779109,0.0,7.31123161315918
2012-08-26,13.88888888888889,0.0,0.2659005932043851,0.0,7.7831711769104
2012-08-27,15.0,0.0,0.2736403843611935,0.0,8.28012466430664
2012-08-28,13.88888888888889,7.619999999999999,0.2808972887235086,0.0,7.688498497009277
2012-08-29,14.444444444444445,0.0,0.2883786334269266,0.0,7.905864715576172
2012-08-30,13.88888888888889,0.0,0.292051293554059,0.0,7.593542098999023
2012-08-31,13.333333333333334,2.54,0.281985484316733,0.0,7.292115211486816
2012-09-01,11.666666666666666,2.54,0.2425996050644676,0.0,6.533083438873291
2012-09-02,11.666666666666666,0.0,0.2268921817985186,0.0,6.491602420806885
2012-09-03,13.333333333333334,0.0,0.2147417978779224,0.0,7.154101371765137
2012-09-04,13.333333333333334,0.0,0.2089063490092567,0.0,7.108084201812744
2012-09-05,13.333333333333334,0.0,0.201482814696729,0.0,7.062078475952148
2012-09-06,13.333333333333334,0.0,0.1884210669668069,0.0,7.016094207763672
2012-09-07,11.11111111111111,2.54,0.1780526033301158,0.0,6.0690813064575195
2012-09-08,11.666666666666666,0.0,0.177280664581172,0.0,6.242865562438965
2012-09-09,12.777777777777779,0.0,0.1711119558120811,0.0,6.645949840545654
2012-09-10,13.333333333333334,0.0,0.1748594293862477,0.0,6.832581996917725
2012-09-11,10.0,20.32,0.1878463636691356,0.0,5.509129047393799
2012-09-12,8.333333333333334,2.54,0.2658529846471812,0.0,4.9196248054504395
2012-09-13,8.88888888888889,0.0,0.2516180260433149,0.0,5.0636491775512695
2012-09-14,10.0,0.0,0.1856121620917967,0.0,5.398193359375
2012-09-15,11.666666666666666,0.0,0.1713465979868701,0.0,5.95489501953125
2012-09-16,11.666666666666666,0.0,0.1620527274984877,0.0,5.91410493850708
2012-09-17,7.222222222222222,0.0,0.1615698407039943,0.0,4.424946308135986
2012-09-18,10.555555555555555,0.0,0.16320553470506,0.0,5.43940544128418
2012-09-19,11.666666666666666,0.0,0.1490963987166596,0.0,5.792418479919434
2012-09-20,11.666666666666666,0.0,0.1319199113998582,0.0,5.752108573913574
2012-09-21,12.222222222222221,0.0,0.1243059428585162,0.0,5.913524627685547
2012-09-22,12.222222222222221,0.0,0.1141143110057238,0.0,5.8720831871032715
2012-09-23,11.11111111111111,0.0,0.1187629465555292,0.0,5.439185619354248
2012-09-24,6.111111111111111,10.16,0.1303148228998523,0.0,3.9188318252563477
2012-09-25,3.888888888888889,2.54,0.1378233724931007,0.0,3.359679937362671
2012-09-26,3.3333333333333335,2.54,0.1512149795122184,0.0,3.214235305786133
2012-09-27,4.444444444444445,0.0,0.1607638958427625,0.0,3.4368538856506348
2012-09-28,7.222222222222222,0.0,0.1713602004317853,0.0,4.094740390777588
2012-09-29,8.88888888888889,0.0,0.193763427207293,0.0,4.5264081954956055
2012-09-30,8.88888888888889,0.0,0.1941987054445829,0.0,4.493995189666748
2012-10-01,9.444444444444445,0.0,0.1996668883005358,0.0,4.622869968414307
2012-10-02,10.0,0.0,0.1745635762093401,0.0,4.754618167877197
2012-10-03,10.555555555555555,0.0,0.1516782585270735,0.0,4.889285087585449
